Funder Name,Funder EIN,Funder Financial Date,Funder Financial Assets,Funder Financial Expenditures,Funder Financial Total Giving,Funder Financial Grant Amount,Funder Telephone,Funder Email,Funder Website,Funder Address
Barr Foundation,46579815,2018,"$1,806,028,494 ","$110,353,921 ","$81,909,301 ",N/A,(617) 854-3500, info@barrfoundation.org,http://www.barrfoundation.org/,"Two Atlantic Ave.
Boston, MA, United States 02110"
The Boston Foundation,42104021,2019,"$1,270,928,403 ","$175,809,198 ","$151,878,269 ","$145,592,990 ",(617) 338-1700, info@tbf.org,https://www.tbf.org,"75 Arlington Street, 3rd Floor
Boston, MA, United States 2116"
Fidelity Investments Charitable Gift Fund,110303001,2017,"$21,223,553,156 ","$3,834,825,046 ","$3,764,811,986 ","$3,691,747,316 ",(800) 952-4438,N/A,http://www.fidelitycharitable.org/,"200 Seaport Blvd., Ste. 7
Boston, MA, United States 02210-2031"
Walton Family Foundation,133441466,2019,"$5,555,553,583 ","$591,655,751 ","$504,437,060 ",N/A,4794641570, info@wffmail.com,http://www.waltonfamilyfoundation.org,"P.O. Box 1860
Bentonville, AR, United States 72712"
Ford Foundation,131684331,2019,"$14,245,104,704 ","$665,707,679 ","$520,233,236 ",N/A,2125735000,N/A,http://www.fordfoundation.org,"320 East 43rd St.
New York City, NY, United States 10017"
"State Street Foundation, Inc.",562615567,2020,"$32,923,643 ","$22,451,912 ","$22,219,990 ",N/A,6176624365, wyoung@statestreet.com,http://www.statestreet.com/values/so...,"1 Iron Street
Boston, MA, United States 02210-1641"
"Combined Jewish Philanthropies of Greater Boston, Inc.",42103559,2020,"$1,695,752,334 ","$236,866,465 ","$203,356,607 ","$202,932,555 ",6174578500, info@cjp.org,http://www.cjp.org,"Kraft Family Building
Boston, MA, United States 2110"
One8 Foundation,46836735,2019,"$577,681,643 ","$38,619,873 ","$32,079,005 ",N/A,8572026250,N/A,https://www.one8.org/,"177 Huntington Ave., Ste. 1500
Boston, MA, United States 02115"
"The Liberty Mutual Foundation, Inc.",141893520,2019,"$55,418,862 ","$25,844,594 ","$25,553,304 ",N/A,6173579500, foundation@LibertyMutual.com,http://www.libertymutualfoundation.org,"175 Berkeley Street
Boston, MA, United States 02116"
Yawkey Foundation II,42768239,2019,"$450,006,146 ","$26,610,006 ","$19,892,482 ",N/A,7813297470,N/A,http://www.yawkeyfoundation.org,"990 Washington St Ste 315
Dedham, MA, United States 2026"
Richard & Susan Smith Family Foundation,237090011,2020,"$307,323,796 ","$20,589,791 ","$14,138,470 ",N/A,8574040700, info@smithfamilyfoundation.net,https://rssff.org/,"One Newton Executive Park
Newton, MA, United States 02462"
Blue Meridian Partners Inc.,815086187,2020,"$1,863,793,077 ","$324,916,069 ","$302,292,753 ","$302,292,753 ",2125519100,N/A,N/A,"477 Madison Ave 6th Fl
New York City, NY, United States 10022"
"The Hyams Foundation, Inc.",46013680,2019,"$140,235,458 ","$9,219,275 ","$4,812,750 ",N/A,(617) 426-5600, info@hyamsfoundation.org,http://www.hyamsfoundation.org,"50 Federal Street 9th Floor
Boston, MA, United States 02110"
The Klarman Family Foundation,43105768,2019,"$838,896,973 ","$81,818,103 ","$66,505,393 ",N/A,6172367909, info@klarmanfoundation.org,http://www.klarmanfoundation.org,"P.O. Box 171627
Boston, MA, United States 02117"
United Way of Massachusetts Bay and Merrimack Valley,42382233,2020,"$61,459,192 ","$54,234,704 ","$40,790,182 ","$40,790,182 ",6176248000, info@supportunitedway.org,https://unitedwaymassbay.org/,"9 Channel Center
Boston, MA, United States 2210"
W.K. Kellogg Foundation,381359264,2020,"$385,996,612 ","$324,921,728 ","$295,080,632 ",N/A,2699681611,N/A,https://www.wkkf.org/,"One Michigan Ave East
Battle Creek, MI, United States 49017"
The Andrew W. Mellon Foundation,131879954,2019,"$6,993,697,924 ","$376,055,916 ","$312,988,342 ",N/A,2128388400, inquiries@mellon.org,http://www.mellon.org,"140 East 62nd Street
New York City, NY, United States 10065"
Nellie Mae Education Foundation,42755323,2019,"$508,836,000 ","$27,552,000 ","$19,457,000 ",N/A,7813484200, info@nmefoundation.org,http://www.nmefoundation.org,"1250 Hancock Street
Quincy, MA, United States 02169"
"Mass General Brigham, Inc.",N/A,2018,"$18,199,079,471 ","$12,986,377,183 ","$1,146,707,910 ","$1,106,250,091 ",N/A,N/A,https://www.massgeneralbrigham.org/,"125 Nashua St Ste 540
Boston, MA, United States 2114"
The Edna McConnell Clark Foundation,237047034,2019,"$794,211,555 ","$137,761,016 ","$121,071,571 ",N/A,2125519100, emcf-info@bluemeridian.org,http://www.emcf.org,"415 Madison Avenue
New York City, NY, United States 10017"
"Bank of America Charitable Foundation, Inc.",200721133,2020,"$8,919,572 ","$309,132,560 ","$309,128,133 ","$309,128,133 ",(800) 218-9946, foundation@bofa.com,http://www.bankofamerica.com/foundat...,"100 N Tryon St
Charlotte, NC, United States 28255"
Google.org Corporate Giving Program,N/A,,N/A,N/A,N/A,N/A,(650) 253-0000,N/A,https://www.google.org/our-work/,"1600 Amphitheatre Pkwy.
Mountain View, CA, United States 94043-1351"
Bill & Melinda Gates Foundation,562618866,2019,"$51,038,075,591 ","$5,292,071,460 ","$4,707,427,531 ",N/A,2067093100, info@gatesfoundation.org,http://www.gatesfoundation.org/,"500 Fifth Avenue North
Seattle, WA, United States 98109"
Silicon Valley Community Foundation,205205488,2019,"$9,264,570,870 ","$1,476,910,041 ","$1,399,752,369 ","$1,315,533,420 ",(650) 450-5400, info@siliconvalleycf.org,http://www.siliconvalleycf.org,"2440 West El Camino Real
Mountain View, CA, United States 94040"
Charles Hayden Foundation,135562237,2020,"$334,450,488 ","$17,169,218 ","$12,985,034 ",N/A,2127853677, info@charleshaydenfoundation.org,http://www.charleshaydenfoundation.org,"140 Broadway 51st Floor
New York City, NY, United States 10005"
"Beth Israel Deaconess Medical Center, Inc.",42103881,2019,"$2,206,360,118 ","$1,877,125,248 ","$42,720,863 ","$40,913,096 ",6176678000, mlcarocc@bidmc.harvard.edu,http://www.bidmc.harvard.edu,"330 Brookline Ave.
Boston, MA, United States 02215-5491"
"Rodman Ride for Kids, Inc.",43329283,2018,"$2,568,883 ","$9,819,011 ","$9,253,864 ","$9,253,864 ",5085437892, info@rodmanrideforkids.org,http://www.rodmanrideforkids.org,"10 Lincoln Road
Foxborough, MA, United States 02035"
Amelia Peabody Foundation,46036558,2019,"$170,379,329 ","$10,207,631 ","$6,839,000 ",N/A,7812376468,N/A,http://www.ameliapeabody.org,"1 Hollis St., Ste. 215
Wellesley, MA, United States 02482-4677"
The Kresge Foundation,381359217,2019,"$3,838,563,502 ","$214,517,854 ","$150,781,466 ",N/A,2486439630, info@kresge.org,http://kresge.org,"3215 W Big Beaver Rd
Troy, MI, United States 48084"
MASSACHUSETTS SERVICE ALLIANCE,43088234,2020,"$4,994,746 ","$16,041,151 ","$13,347,399 ","$13,347,399 ",6175422544, ehaber@mass-service.org,http://mass-service.org,"100 N WASHINGTON ST
Boston, MA, United States 2114"
Community Care Cooperative Inc,813005904,2019,"$26,233,865 ","$28,836,652 ","$10,453,127 ","$10,453,127 ",8666769226,N/A,N/A,"75 Federal Street 7th Floor
Boston, MA, United States 02110"
MacKenzie Scott,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Seattle, WA, United States"
The JPB Foundation,900747216,2019,"$4,382,466,208 ","$291,731,452 ","$261,902,892 ",N/A,2129359860,N/A,http://jpbfoundation.org,"875 Third Avenue 29th Floor
New York City, NY, United States 10022"
"Strategic Grant Partners, Inc.",460512638,2020,"$250,658 ","$11,693,150 ","$10,664,763 ",N/A,8572026230, asikorsky@strategicgrantpartners.org,http://www.strategicgrantpartners.org/,"177 Huntington Avenue No 1500
Boston, MA, United States 02115"
"Cummings Foundation, Inc.",43073023,2019,"$1,668,849,516 ","$113,446,935 ","$127,495 ",N/A,7819358000, cpcom@cummings.com,http://www.cummingsfoundation.org,"200 West Cummings Park
Woburn, MA, United States 01801"
StartSmall LLC,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,https://startsmall.llc/,"1355 Market St., Ste. 900
San Francisco, CA, United States 94103-1337"
Shelby Cullom Davis Charitable Fund,203734688,2019,"$3,207,898,708 ","$141,675,589 ","$135,550,371 ",N/A,8008391754,N/A,N/A,"501 Silverside Rd., No. 123
Wilmington, DE, United States 19809-1377"
Lloyd G. Balfour Foundation,222751372,2019,"$116,649,380 ","$6,262,948 ","$5,312,500 ",N/A,8888663275, ma.grantmaking@ustrust.com,https://www.bankofamerica.com/philan...,"225 Franklin St., 4th Fl.
Boston, MA, United States 02110-2801"
The Reeder Foundation,43542100,2020,"$39,786,252 ","$2,583,538 ","$2,290,000 ",N/A,6175268994,N/A,N/A,"200 Clarendon St 48th Fl
Boston, MA, United States 02116"
