Grant Funder Name,Grant Recipient Name,Grant Total Amount,Grant Fiscal Year,Grant Duration,Grant Program Area,Grant Primary Subject,Grant Population Served,Grant Support Strategy,Grant Transaction Type,Grant Description
Walton Family Foundation,Building Excellent Schools Inc,"4,995,530",2015,1 year,Not Specified,Educational management,Children and youth; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,For K-12 School Program
One8 Foundation,Year Up,"3,000,000",2015,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,Youth development
Ford Foundation,Empower Schools,"2,800,000",2015,1.5 months,Beyond Current Program Structure,Secondary education,People of Asian descent; People of African descent; People of European descent; People of Latin American descent,Systems reform,Cash grants,Final general support to increase and redesign the quantity and quality of time in school and final support for the National TIME Collaborative
New Profit,Year Up,"2,250,000",2015,1 year,Not Specified,Job training,Teachers,Program expansion,Cash grants,Program expansion
"Mass General Brigham, Inc.","Martha's Vineyard Hospital, Inc.","2,236,796",2015,1 year,Not Specified,Public affairs,Age Groups; Ethnic and racial groups; Social and economic status; Health,Program support,Cash grants,To support Tax Exempt Affliliate
"Mass General Brigham, Inc.","Martha's Vineyard Hospital, Inc.","2,236,796",2015,1 year,Not Specified,Public affairs,Age Groups; Ethnic and racial groups; Social and economic status; Health,Program support,Cash grants,To support Tax Exempt Affliliate
Remondi Family Foundation,Adopt-A-Student,"2,000,000",2015,1 year,Not Specified,Education,Students,Endowments,Cash grants,Adopt-a-student Endowment Fund
Bill & Melinda Gates Foundation,Empower Schools,"1,817,042",2015,2 months,Not Specified,Elementary and secondary education,Children and youth; Students; Teachers,Program support,Cash grants,To support Empower Schools' growth and work with Massachusetts school districts dedicated to implementing higher standards and providing teachers with meaningful feedback and aligned professional development
Alfred P. Sloan Foundation,President and Fellows of Harvard College,"1,594,609",2015,5 months,Stem Higher Education,Economics,Ethnic and racial groups; Students; Teachers,Faculty and staff development; Equal access,Cash grants,To increase both the number of minority students entering top Ph.D. programs in economics and economics-related fields and the diversity of the economics faculties and work force
"Combined Jewish Philanthropies of Greater Boston, Inc.",Jewish Vocational Service,"1,245,203",2015,1 year,Not Specified,Job creation and workforce development,Ethnic and racial groups; Immigrants and migrants; Low-income people; Students,Program support,Cash grants,Employment
"Masshire Hampden County Workforce Board, Inc.",New England Farm Workers Council,"1,204,194",2015,1 year,Not Specified,Education,Academics,Program support,Cash grants,Education & training
Barr Foundation,Jumpstart for Young Children,"1,200,000",2015,4 months,Not Specified,Early childhood education,Children and youth; Children; Ethnic and racial groups; Low-income people; Students,General support,Cash grants,"To provide core operating support as Jumpstart works to build the language, literacy, and socialemotional skills of 6,000 economically disadvantaged children in Boston"
"Mass General Brigham, Inc.",Camp Harbor View Foundation Inc.,"1,200,000",2015,1 year,Not Specified,Benefits planning,Children and youth; Adolescents; Family relationships; Ethnic and racial groups; Economically disadvantaged people; Low-income people; At-risk youth,Not Specified,Cash grants,Community Benefit Program
"National Urban League, Inc.",Urban League of Eastern Massachusetts,"1,148,629",2015,1 year,Not Specified,Human services,People of African descent,Program support,Cash grants,See part iv
"Tower Family Fund, Inc.",KIPP Academy,"1,100,000",2015,1 year,Not Specified,Charter school education,People of African descent,Capital campaigns,Cash grants,Capital campaign
"Rodman Ride for Kids, Inc.","Artists for Humanity, Inc.","1,049,188",2015,1 year,Not Specified,Benefits planning,Adolescents; Ethnic and racial groups; Low-income people,Not Specified,Cash grants,To benefit disadvantaged youths in massachusetts
"Combined Jewish Philanthropies of Greater Boston, Inc.",Year Up,"1,031,000",2015,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,Donor Advised FD Education
New York Life Foundation,Building Educated Leaders for Life Foundation,"1,005,000",2015,1 year,Not Specified,Out-of-school learning,Children; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,Amounts are grouped by purpose
