Grant Funder Name,Grant Recipient Name,Grant Total Amount,Grant Fiscal Year,Grant Duration,Grant Program Area,Grant Primary Subject,Grant Population Served,Grant Support Strategy,Grant Transaction Type,Grant Description
Walton Family Foundation,Building Excellent Schools Inc,"7,400,000",2018,1 year,Not Specified,Education,Children and youth; Students,Program support,Cash grants,Education Improvement
The JPB Foundation,President and Fellows of Harvard College,"5,000,000",2018,3.25 months,Poverty; Health Equity,University education,Academics,Not Specified,Cash grants,"The main goal of CHOICES Phase 3 is to increase the capacity and actions of local, state and national decision-makers to choose and implement cost-effective and equitable strategies that prevent childhood obesity. We aim to achieve this goal by accomplishing three objectives: 1. To expand our collaborative work with state, city and national partners in using CHOICES cost-effectiveness methods and decision tools. In addition to continuing our in-depth Learning Collaborative Partnerships, we will develop a nationwide CHOICES Community of Practice for cost-effective decision-making for childhood obesity. This will include developing 8 new Learning Collaborative partnerships with state and city health departments, thus engaging a wide variety of new partners and stakeholders in using cost-effectiveness modeling to inform their decision making. We will also continue working with our existing state/city health agency partners and their local partners as we develop a nationwide CHOICES Community of Practice. The CHOICES Community of Practice will include peer-to-peer exchange and learning network opportunities, including tools for cost-effectiveness calculations, and case studies and webinars produced with the Leadership Studio at the Harvard Chan School that highlight state/city health agency experiences. The CHOICES Community of Practice will allow for a collaborative forum for agencies and other partners to work together to develop comprehensive strategies to turn around the obesity epidemic and address equity concerns. 2. To further advance the science on cost-effective obesity prevention, in collaboration with leading researchers, public health professionals, and decision-makers, we will estimate cost-effectiveness and health equity metrics for nine childhood obesity intervention strategies. We will update and expand our evidence reviews and estimate metrics using our CHOICES framework and microsimulation model. We will also update CHOICES microsimulation models by incorporating recent population and health data and health equity metrics. This work will draw upon our experience with evidence reviews and published CHOICES cost- effectiveness evaluations of interventions, as well as modeling work we have completed with state and city partners (more than 50 models). We will thus take advantage of new studies and evidence for effective strategies that can reduce obesity prevalence. Please see expert stakeholder group list sent via email March 5, 2018 by CHOICES team. We will deepen our understanding of how different obesity prevention strategies impact health equity. This work will build on our existing studies of the potential impact of intervention strategies on health disparities, as well as new work that documents the predictability of BMI and obesity risks over the life course, taking into account race/ethnicity specific trajectories (Ward et al. 2017)."
"Combined Jewish Philanthropies of Greater Boston, Inc.",Year Up,"3,126,200",2018,1 year,Not Specified,Job training,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Not Specified,Cash grants,DAF -Education
One8 Foundation,Year Up,"3,000,000",2018,1 year,Not Specified,Youth development,Adolescents; Young adults; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,Youth development
"Beth Israel Deaconess Medical Center, Inc.",Fenway Sidney Borum Community Health Center,"2,971,300",2018,1 year,Not Specified,Health care clinics,Low-income people,Research,Cash grants,Research- subaward
Alfred P. Sloan Foundation,National Action Council For Minorities In Engineering,"2,870,643",2018,1 year,Higher Education,Graduate and professional education,Ethnic and racial groups; Students,Continuing support; Program support,Cash grants,"To support the Alfred P. Sloan Minority Ph.D. Program (MPHD) through Phase 3 renewal grants for University Centers of Exemplary Mentoring (UCEMs) at Massachusetts Institute of Technology, University of California, San Diego and the University of Illinois at Urbana-Champaign"
The Andrew W. Mellon Foundation,New England Conservatory Preparatory School,"2,500,000",2018,3.75 months,Not Specified,Performing arts education,Children and youth; Ethnic and racial groups; Low-income people; Students,Program support,Cash grants,For Boston Bridge to Equity and Achievement in Music initiative
"Shipley Foundation, Inc.",Fidelity Charitable Sift Fund,"2,312,000",2018,1 year,Not Specified,Philanthropy,Ethnic and racial groups,Program support,Cash grants,Ffc catalyst fund
"Combined Jewish Philanthropies of Greater Boston, Inc.",Jewish Vocational Service,"2,173,242",2018,1 year,Not Specified,Vocational rehabilitation,Ethnic and racial groups; Immigrants and migrants; Low-income people; Students,Not Specified,Cash grants,Employment
Remondi Family Foundation,Adopt-A-Student,"2,002,500",2018,1 year,Not Specified,Elementary and secondary education,Children and youth; Academics,General support; Equal access,Cash grants,General & Unrestricted
